Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,175.25,-77.25,270.0,bottom
C1,168.31,-72.47,0.0,bottom
C10,165.44,-76.41,0.0,bottom
C11,165.44,-78.38,0.0,bottom
C12,165.44,-80.35,0.0,bottom
C13,165.44,-82.32,0.0,bottom
C14,159.05,-89.3,0.0,bottom
C15,157.65,-93.75,0.0,bottom
C16,160.7,-91.9,0.0,bottom
C18,162.57,-72.47,0.0,bottom
C19,162.57,-74.44,0.0,bottom
C2,168.31,-74.44,0.0,bottom
C20,162.57,-76.41,0.0,bottom
C21,170.7,-64.49,0.0,bottom
C22,162.4,-89.95,0.0,bottom
C27,162.57,-78.38,0.0,bottom
C28,162.57,-80.35,0.0,bottom
C29,162.57,-82.32,0.0,bottom
C3,156.475,-66.6,0.0,bottom
C30,151.25,-81.45,0.0,bottom
C31,151.735,-71.285,0.0,bottom
C32,157.9,-70.0,0.0,bottom
C33,177.435,-69.735,0.0,bottom
C34,159.7,-72.47,0.0,bottom
C35,170.7,-68.6,0.0,bottom
C36,168.0,-78.27,270.0,top
C37,167.5,-76.9,180.0,top
C38,167.02,-78.27,270.0,top
C39,159.7,-80.35,0.0,bottom
C4,168.31,-76.41,0.0,bottom
C40,159.7,-82.32,0.0,bottom
C41,156.83,-72.47,0.0,bottom
C42,156.83,-74.44,0.0,bottom
C43,156.83,-76.41,0.0,bottom
C44,156.83,-78.38,0.0,bottom
C45,156.83,-80.35,0.0,bottom
C46,156.83,-82.32,0.0,bottom
C5,168.31,-78.38,0.0,bottom
C6,168.31,-80.35,0.0,bottom
C7,168.31,-82.32,0.0,bottom
C8,165.44,-72.47,0.0,bottom
C9,165.44,-74.44,0.0,bottom
D1,152.05,-84.45,0.0,top
D3,156.05,-63.1,0.0,top
D4,161.25,-63.3,0.0,top
H1,179.45,-84.55,90.0,top
H2,170.0,-94.75,180.0,top
H3,170.0,-91.95,0.0,bottom
H4,170.75,-62.9,180.0,top
H5,148.9,-78.4,270.0,top
H6,179.4,-76.65,90.0,top
H7,148.85,-72.7,270.0,top
L1,164.65,-68.0,0.0,bottom
R1,172.38,-84.94,0.0,top
R10,175.29,-86.93,0.0,top
R11,170.8,-85.05,0.0,bottom
R12,170.8,-87.04,0.0,bottom
R13,170.8,-89.03,0.0,bottom
R2,172.38,-86.93,0.0,top
R3,172.38,-88.92,0.0,top
R4,172.38,-90.91,0.0,top
R5,172.38,-92.9,0.0,top
R6,166.34,-90.75,0.0,bottom
R7,175.29,-84.94,0.0,top
R8,150.1,-86.85,0.0,bottom
R9,155.85,-90.1,0.0,bottom
SW1,151.87,-78.2,0.0,bottom
SW2,151.98,-74.3,0.0,bottom
U1,158.88,-69.15,0.0,top
U2,167.165,-87.75,270.0,top
U3,170.9,-86.75,180.0,bottom
U4,169.22,-68.88,270.0,top
U5,164.25,-78.25,90.0,top
U6,158.05,-76.5,0.0,top
USB1,159.65,-89.8675,0.0,top
X2,171.465,-74.735,0.0,top
X3,159.65,-84.8,0.0,top
